Freq.	V(filtroout)
1.23026877081237e+03	8.90516939672233e-01,-4.55889748251913e-01
1.25892541179416e+03	8.85443599552683e-01,-4.65717842895270e-01
1.28824955169313e+03	8.80139402961478e-01,-4.75719078310903e-01
1.31825673855640e+03	8.74594251217577e-01,-4.85893590951818e-01
1.34896288259165e+03	8.68797643070006e-01,-4.96241252747907e-01
1.38038426460288e+03	8.62738662519146e-01,-5.06761647070084e-01
1.41253754462275e+03	8.56405966679918e-01,-5.17454042999900e-01
1.44543977074592e+03	8.49787773742933e-01,-5.28317367799621e-01
1.47910838816820e+03	8.42871851096745e-01,-5.39350177472236e-01
1.51356124843620e+03	8.35645503682303e-01,-5.50550625295090e-01
1.54881661891247e+03	8.28095562659193e-01,-5.61916428204862e-01
1.58489319246110e+03	8.20208374472732e-01,-5.73444830905475e-01
1.62181009735892e+03	8.11969790421218e-01,-5.85132567564081e-01
1.65958690743755e+03	8.03365156833883e-01,-5.96975820953707e-01
1.69824365246173e+03	7.94379305982355e-01,-6.08970178894304e-01
1.73780082874936e+03	7.84996547861772e-01,-6.21110587836910e-01
1.77827941003891e+03	7.75200662992290e-01,-6.33391303428349e-01
1.81970085860997e+03	7.64974896407594e-01,-6.45805837886409e-01
1.86208713666286e+03	7.54301953014287e-01,-6.58346904007660e-01
1.90546071796323e+03	7.43163994524891e-01,-6.71006355622060e-01
1.94984459975803e+03	7.31542638187688e-01,-6.83775124300214e-01
1.99526231496887e+03	7.19418957558924e-01,-6.96643152110450e-01
2.04173794466952e+03	7.06773485587276e-01,-7.09599320213975e-01
2.08929613085403e+03	6.93586220306930e-01,-7.22631373076884e-01
2.13796208950222e+03	6.79836633464547e-01,-7.35725838067930e-01
2.18776162394954e+03	6.65503682436964e-01,-7.48867940200501e-01
2.23872113856832e+03	6.50565825830945e-01,-7.62041511766028e-01
2.29086765276776e+03	6.35001043194057e-01,-7.75228896594065e-01
2.34422881531991e+03	6.18786859307236e-01,-7.88410848661240e-01
2.39883291901947e+03	6.01900373575090e-01,-8.01566424756939e-01
2.45470891568501e+03	5.84318295080324e-01,-8.14672870897804e-01
2.51188643150956e+03	5.66016983924203e-01,-8.27705502165354e-01
2.57039578276885e+03	5.46972499536808e-01,-8.40637575621041e-01
2.63026799189536e+03	5.27160656709666e-01,-8.53440155930180e-01
2.69153480392690e+03	5.06557090180675e-01,-8.66081973299920e-01
2.75422870333815e+03	4.85137328688172e-01,-8.78529273305869e-01
2.81838293126443e+03	4.62876879509778e-01,-8.90745658146457e-01
2.88403150312658e+03	4.39751324614131e-01,-9.02691918822314e-01
2.95120922666636e+03	4.15736429682887e-01,-9.14325857688802e-01
3.01995172040199e+03	3.90808267409803e-01,-9.25602100771796e-01
3.09029543251357e+03	3.64943356657726e-01,-9.36471899168134e-01
3.16227766016836e+03	3.38118819258488e-01,-9.46882918771066e-01
3.23593656929626e+03	3.10312556481967e-01,-9.56779017465093e-01
3.31131121482589e+03	2.81503447487738e-01,-9.66100008821612e-01
3.38844156139200e+03	2.51671572417096e-01,-9.74781411194074e-01
3.46736850452529e+03	2.20798463198770e-01,-9.82754180956249e-01
3.54813389233573e+03	1.88867385646738e-01,-9.89944428447330e-01
3.63078054770099e+03	1.55863657045913e-01,-9.96273114980764e-01
3.71535229097170e+03	1.21775004180703e-01,-1.00165572903897e+00
3.80189396320558e+03	8.65919677001131e-02,-1.00600193951422e+00
3.89045144994278e+03	5.03083598789164e-02,-1.00921522357079e+00
3.98107170553494e+03	1.29217842892998e-02,-1.01119246640359e+00
4.07380277804110e+03	-2.55657722807577e-02,-1.01182352987089e+00
4.16869383470332e+03	-6.51472630366186e-02,-1.01099078671181e+00
4.26579518801589e+03	-1.05809804003381e-01,-1.00856861686983e+00
4.36515832240162e+03	-1.47533777317347e-01,-1.00442286240667e+00
4.46683592150960e+03	-1.90291791225869e-01,-9.98410237721586e-01
4.57088189614871e+03	-2.34047467213941e-01,-9.90377692466256e-01
4.67735141287194e+03	-2.78754017309611e-01,-9.80161725930754e-01
4.78630092322634e+03	-3.24352565318442e-01,-9.67587654168421e-01
4.89778819368442e+03	-3.70770154025059e-01,-9.52468835315225e-01
5.01187233627268e+03	-4.17917365722295e-01,-9.34605865306320e-01
5.12861383991361e+03	-4.65685465165566e-01,-9.13785766762575e-01
5.24807460249768e+03	-5.13942951565372e-01,-8.89781210044974e-01
5.37031796370248e+03	-5.62531378973468e-01,-8.62349829994927e-01
5.49540873857620e+03	-6.11260272129983e-01,-8.31233738461081e-01
5.62341325190344e+03	-6.59900927930445e-01,-7.96159386676627e-01
5.75439937337152e+03	-7.08178852893593e-01,-7.56838010289852e-01
5.88843655355584e+03	-7.55764548596945e-01,-7.12967003433100e-01
6.02559586074353e+03	-8.02262328617150e-01,-6.64232729937356e-01
6.16595001861477e+03	-8.47196848137120e-01,-6.10315506404219e-01
6.30957344480188e+03	-8.89997079345985e-01,-5.50897802779350e-01
6.45654229034650e+03	-9.29977619610190e-01,-4.85677120507188e-01
6.60693448007590e+03	-9.66317551647600e-01,-4.14385537649044e-01
6.76082975391976e+03	-9.98037702782861e-01,-3.36818541899713e-01
6.91830970918931e+03	-1.02397824204545e+00,-2.52876438515788e-01
7.07945784384132e+03	-1.04278032820004e+00,-1.62622143400086e-01
7.24435960074984e+03	-1.05287821525227e+00,-6.63591794636886e-02
7.41310241300911e+03	-1.05251198211450e+00,3.52674936914545e-02
7.58577575029177e+03	-1.03977569323579e+00,1.41148660739287e-01
7.76247116628685e+03	-1.01272034079388e+00,2.49574114246226e-01
7.94328234724275e+03	-9.69532937473725e-01,3.58102476863488e-01
8.12830516164092e+03	-9.08808140976028e-01,4.63475795055679e-01
8.31763771102664e+03	-8.29910577540884e-01,5.61636770028639e-01
8.51138038202369e+03	-7.33389410619550e-01,6.47918240793273e-01
8.70963589956073e+03	-6.21354124891899e-01,7.17461494657122e-01
8.91250938133738e+03	-4.97670697536350e-01,7.65864727522378e-01
9.12010839355902e+03	-3.67827440614701e-01,7.89964578507642e-01
9.33254300796983e+03	-2.38387959362677e-01,7.88547198765027e-01
