Freq.	V(ampout)
1.62181009735892e-01	1.01078844070435e+00,4.78693416572536e-01
1.65958690743755e-01	1.01129698753357e+00,4.89831913018583e-01
1.69824365246173e-01	1.01182878017426e+00,5.01229021825982e-01
1.73780082874936e-01	1.01238608360291e+00,5.12890707073643e-01
1.77827941003891e-01	1.01296925544739e+00,5.24823067527535e-01
1.81970085860997e-01	1.01358020305634e+00,5.37032339439248e-01
1.86208713666285e-01	1.01421988010406e+00,5.49524899398777e-01
1.90546071796323e-01	1.01488947868347e+00,5.62307267353316e-01
1.94984459975803e-01	1.01559066772461e+00,5.75386109405826e-01
1.99526231496886e-01	1.01632475852966e+00,5.88768240999849e-01
2.04173794466951e-01	1.01709377765656e+00,6.02460629840043e-01
2.08929613085402e-01	1.01789832115173e+00,6.16470399056674e-01
2.13796208950222e-01	1.01874148845673e+00,6.30804830268448e-01
2.18776162394954e-01	1.01962375640869e+00,6.45471366814762e-01
2.23872113856832e-01	1.02054774761200e+00,6.60477616947292e-01
2.29086765276776e-01	1.02151489257812e+00,6.75831356987695e-01
2.34422881531990e-01	1.02252793312073e+00,6.91540534722489e-01
2.39883291901947e-01	1.02358853816986e+00,7.07613272594638e-01
2.45470891568501e-01	1.02469909191132e+00,7.24057871098429e-01
2.51188643150956e-01	1.02586150169373e+00,7.40882812140462e-01
2.57039578276884e-01	1.02707886695862e+00,7.58096762319328e-01
2.63026799189536e-01	1.02835333347321e+00,7.75708576469565e-01
2.69153480392689e-01	1.02968764305115e+00,7.93727300954882e-01
2.75422870333815e-01	1.03108465671539e+00,8.12162177090143e-01
2.81838293126443e-01	1.03254747390747e+00,8.31022644678541e-01
2.88403150312658e-01	1.03407907485962e+00,8.50318345291273e-01
2.95120922666636e-01	1.03568267822266e+00,8.70059125831821e-01
3.01995172040199e-01	1.03736126422882e+00,8.90255041815633e-01
3.09029543251357e-01	1.03911864757538e+00,9.10916360873413e-01
3.16227766016835e-01	1.04095888137817e+00,9.32053566091787e-01
3.23593656929626e-01	1.04288530349731e+00,9.53677359279429e-01
3.31131121482588e-01	1.04490220546722e+00,9.75798664463578e-01
3.38844156139200e-01	1.04701364040375e+00,9.98428630878342e-01
3.46736850452529e-01	1.04922425746918e+00,1.02157863640022e+00
3.54813389233573e-01	1.05153858661652e+00,1.04526029050255e+00
3.63078054770098e-01	1.05396127700806e+00,1.06948543740640e+00
3.71535229097170e-01	1.05649781227112e+00,1.09426615901469e+00
3.80189396320558e-01	1.05915284156799e+00,1.11961477768364e+00
3.89045144994277e-01	1.06193256378174e+00,1.14554385905525e+00
3.98107170553494e-01	1.06484258174896e+00,1.17206621454412e+00
4.07380277804109e-01	1.06788861751556e+00,1.19919490385823e+00
4.16869383470332e-01	1.07107758522034e+00,1.22694323726215e+00
4.26579518801589e-01	1.07441556453705e+00,1.25532477747444e+00
4.36515832240162e-01	1.07790982723236e+00,1.28435334189017e+00
4.46683592150959e-01	1.08156764507294e+00,1.31404300373291e+00
4.57088189614871e-01	1.08539640903473e+00,1.34440809391143e+00
4.67735141287194e-01	1.08940410614014e+00,1.37546320173792e+00
4.78630092322634e-01	1.09359896183014e+00,1.40722317583603e+00
4.89778819368442e-01	1.09799003601074e+00,1.43970312468299e+00
5.01187233627268e-01	1.10258579254150e+00,1.47291841647403e+00
5.12861383991360e-01	1.10739624500275e+00,1.50688467885140e+00
5.24807460249768e-01	1.11243104934692e+00,1.54161779830801e+00
5.37031796370248e-01	1.11770021915436e+00,1.57713391847982e+00
5.49540873857620e-01	1.12321519851685e+00,1.61344943884489e+00
5.62341325190344e-01	1.12898707389832e+00,1.65058101203991e+00
5.75439937337152e-01	1.13502752780914e+00,1.68854554102782e+00
5.88843655355584e-01	1.14134895801544e+00,1.72736017538441e+00
6.02559586074352e-01	1.14796423912048e+00,1.76704230707000e+00
6.16595001861477e-01	1.15488672256470e+00,1.80760956510334e+00
6.30957344480188e-01	1.16213095188141e+00,1.84907980988316e+00
6.45654229034650e-01	1.16971111297607e+00,1.89147112607316e+00
6.60693448007590e-01	1.17764246463776e+00,1.93480181487715e+00
6.76082975391976e-01	1.18594121932983e+00,1.97909038523001e+00
6.91830970918930e-01	1.19462466239929e+00,2.02435554385019e+00
7.07945784384132e-01	1.20370912551880e+00,2.07061618392352e+00
7.24435960074984e-01	1.21321380138397e+00,2.11789137275694e+00
7.41310241300911e-01	1.22315669059753e+00,2.16620033813124e+00
7.58577575029177e-01	1.23355865478516e+00,2.21556245270231e+00
7.76247116628685e-01	1.24443960189819e+00,2.26599721735872e+00
7.94328234724274e-01	1.25582134723663e+00,2.31752424289895e+00
8.12830516164092e-01	1.26772642135620e+00,2.37016322929622e+00
8.31763771102663e-01	1.28017795085907e+00,2.42393394393333e+00
8.51138038202369e-01	1.29320049285889e+00,2.47885619728966e+00
8.70963589956073e-01	1.30681967735291e+00,2.53494981651406e+00
8.91250938133737e-01	1.32106173038483e+00,2.59223461691054e+00
9.12010839355901e-01	1.33595418930054e+00,2.65073037098468e+00
9.33254300796982e-01	1.35152578353882e+00,2.71045677480655e+00
9.54992586021427e-01	1.36780679225922e+00,2.77143341147346e+00
9.77237220955801e-01	1.38482785224915e+00,2.83367971248569e+00
9.99999999999990e-01	1.40262138843536e+00,2.89721491519190e+00
1.02329299228074e+00	1.42122125625610e+00,2.96205801736159e+00
1.04712854805089e+00	1.44066214561462e+00,3.02822772877593e+00
1.07151930523760e+00	1.46098065376282e+00,3.09574241883417e+00
1.09647819614317e+00	1.48221421241760e+00,3.16462006058233e+00
1.12201845430195e+00	1.50440216064453e+00,3.23487817059476e+00
1.14815362149687e+00	1.52758502960205e+00,3.30653374557603e+00
1.17489755493952e+00	1.55180549621582e+00,3.37960319365033e+00
1.20226443461740e+00	1.57710659503937e+00,3.45410226201880e+00
1.23026877081237e+00	1.60353422164917e+00,3.53004595960247e+00
1.25892541179415e+00	1.63113522529602e+00,3.60744847469794e+00
1.28824955169312e+00	1.65995812416077e+00,3.68632308807941e+00
1.31825673855639e+00	1.69005370140076e+00,3.76668208116771e+00
1.34896288259164e+00	1.72147345542908e+00,3.84853663742309e+00
1.38038426460287e+00	1.75427138805389e+00,3.93189673991622e+00
1.41253754462274e+00	1.78850340843201e+00,4.01677106271935e+00
1.44543977074591e+00	1.82422649860382e+00,4.10316685581937e+00
1.47910838816819e+00	1.86150026321411e+00,4.19108982542313e+00
1.51356124843619e+00	1.90038537979126e+00,4.28054400710700e+00
1.54881661891247e+00	1.94094502925873e+00,4.37153163332870e+00
1.58489319246110e+00	1.98324346542358e+00,4.46405299573505e+00
1.62181009735891e+00	2.02734768390656e+00,4.55810629988025e+00
1.65958690743754e+00	2.07332563400269e+00,4.65368751517387e+00
1.69824365246173e+00	2.12124729156494e+00,4.75079021816092e+00
1.73780082874936e+00	2.17118489742279e+00,4.84940543054374e+00
1.77827941003890e+00	2.22321188449860e+00,4.94952145096965e+00
1.81970085860996e+00	2.27740299701691e+00,5.05112368221088e+00
1.86208713666285e+00	2.33383584022522e+00,5.15419445211036e+00
1.90546071796323e+00	2.39258825778961e+00,5.25871283165442e+00
1.94984459975802e+00	2.45373988151550e+00,5.36465444691980e+00
1.99526231496886e+00	2.51737248897552e+00,5.47199128868961e+00
2.04173794466951e+00	2.58356809616089e+00,5.58069151903368e+00
2.08929613085402e+00	2.65241026878357e+00,5.69071927431090e+00
2.13796208950221e+00	2.72398352622986e+00,5.80203446893065e+00
2.18776162394953e+00	2.79837334156036e+00,5.91459259699996e+00
2.23872113856832e+00	2.87566554546356e+00,6.02834453630173e+00
2.29086765276775e+00	2.95594644546509e+00,6.14323635173083e+00
2.34422881531990e+00	3.03930270671844e+00,6.25920910518117e+00
2.39883291901946e+00	3.12582147121429e+00,6.37619866846842e+00
2.45470891568500e+00	3.21558833122253e+00,6.49413554210751e+00
2.51188643150955e+00	3.30868947505951e+00,6.61294468444403e+00
2.57039578276884e+00	3.40520954132080e+00,6.73254534913394e+00
2.63026799189535e+00	3.50523293018341e+00,6.85285093547097e+00
2.69153480392689e+00	3.60884177684784e+00,6.97376885389267e+00
